,NL111,NL112,NL113,NL124_1,NL126,NL131_2,NL211_1,NL213,NL221_2,NL225,NL230,NL310,NL321_2,NL323_3,NL332_3,NL333,NL33A,NL341_1,NL411_1,NL413,NL414,NL421_2
2019-01-01 00:00:00,246.73006367100703,279.9499592205497,519.897472456449,639.8487077644285,337.2451918057141,903.6622983497738,805.4517537391529,548.8471857035612,1608.55571307105,418.22393716459743,431.6134031732887,997.8032583319856,2101.882670260855,1324.5444397710862,2569.237842455754,477.31336465789076,490.74370268565406,708.7974029226692,1109.7188692300892,617.9081284670242,728.9164261590873,1362.8881647229864
2019-01-01 01:00:00,240.9772901657245,273.42262856514833,507.77551066342306,624.9299555108537,329.3819619449592,882.5924520151937,786.6717905690691,536.0502305964834,1571.0505280512589,408.4726018421068,421.5498782288338,974.5384155211362,2052.8750432340476,1293.661279258289,2509.333333175698,466.1842965700125,479.3014920012736,692.2710386058195,1083.8445950770563,603.5009441245288,711.9209654455335,1331.110979535145
2019-01-01 02:00:00,235.1143102714519,266.770253261176,495.42132738010923,609.725403405678,321.3680954968334,861.1189687776522,767.5320579895966,523.0081230927183,1532.8268528969888,398.5344593295302,411.29356545019397,950.8278860664009,2002.9285727776078,1262.1864873180434,2448.281227932422,454.8420279440523,467.640081878495,675.4280772714055,1057.474645173965,588.8177600819857,694.599921193406,1298.7250360103715
2019-01-01 03:00:00,229.51582571075548,260.4179851137739,483.62447567348624,595.2067709443447,313.7157568583976,840.6142141072179,749.255771992657,510.5543813410027,1496.327554065468,389.0446540731601,401.499943473598,928.1870045569921,1955.2353265522859,1232.1316108036738,2389.983353000873,444.01144060948883,456.5047504078718,659.3449487791457,1032.2943170710134,574.7969753195573,678.0602774338555,1267.8001124942346
2019-01-01 04:00:00,230.1329814891,261.118235145771,484.92491601909825,596.8072501133106,314.55932174767395,842.8745807638012,751.270480685233,511.9272347624517,1500.351098818549,390.09077433764185,402.57955534503384,930.6828497627537,1960.4928497582268,1235.444746797384,2396.4098903949025,445.20536362274777,457.73226726290113,661.1178920775051,1035.0701012713387,576.3425736398251,679.883545249869,1271.2091591810529
2019-01-01 05:00:00,235.18043410484597,266.8452800503186,495.56066027428204,609.8968833166387,321.45847744925595,861.3611509194291,767.74791963523,523.1552145307307,1533.2579469776763,398.6465436435819,411.409238150705,951.0952980527327,2003.4918788353875,1262.5414661745126,2448.969785510354,454.96994826690155,467.77160154153387,675.6180354819442,1057.772050624,588.9833599020145,694.7952713165504,1299.0902910125308
2019-01-01 06:00:00,240.22788672059187,272.5723249548661,506.19640452946555,622.9865165199665,328.3576331508378,879.8477210750566,784.2253585852267,534.3831942990096,1566.164795136803,407.2023129495218,420.23892095637603,971.5077463427112,2046.4909079125475,1289.6381855516408,2501.529680625805,464.7345329110551,477.81093582016643,690.118178886383,1080.473999976661,601.6241461642037,709.7069973832314,1326.9714228440082
2019-01-01 07:00:00,246.00270150367254,279.1246645399818,518.3648106205494,637.9624287438618,336.25099032906706,900.9982947902295,803.0772756371886,547.2291798854251,1603.8136781834908,416.9910097100298,430.3410034676681,994.8617264823383,2095.686303625282,1320.6396723499283,2561.6637090985064,475.90624110655,489.2969863922268,706.707862606746,1106.447409279706,616.0865304467089,726.7675748045003,1358.8703596992368
2019-01-01 08:00:00,252.65916739867373,286.6773613136646,532.3909886339356,655.224739780565,345.3494402062624,925.3779637290921,824.8073479642586,562.0363846453388,1647.2104823060074,428.2741639912257,441.98538865243955,1021.7811997730527,2152.3924467750744,1356.374210567801,2630.978505276962,488.7835536067002,502.5366324714716,725.8303224676218,1136.3862245832156,632.7569123295962,746.4328205343594,1395.6393632499191
2019-01-01 09:00:00,260.90260529513233,296.0307010267686,549.7611561074673,676.6025686803235,356.61705694159724,955.5700040705981,851.7180997865246,580.3737839175501,1700.9535443650193,442.2473418096606,456.4059186494747,1055.118560735726,2222.617935311573,1400.6282413409283,2716.818683325779,504.7309538552309,518.9327504636492,749.511779381422,1173.4627706875622,653.401689893172,770.786469219682,1441.1744868524204
