,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2019-01-01 00:00:00,1046.5774953480059,977.0938995701425,903.6622983497738,1354.298939442714,2026.7796502356475,431.6134031732887,997.8032583319856,3426.4271100319406,3537.294909799299,708.7974029226692,2456.543423856201,1362.8881647229864
2019-01-01 01:00:00,1022.1754293942959,954.3119174558128,882.5924520151937,1322.7220211655524,1979.5231298933656,421.5498782288338,974.5384155211362,3346.5363224923362,3454.819121746984,692.2710386058195,2399.266504647119,1331.110979535145
2019-01-01 02:00:00,997.3058909127371,931.0934989025113,861.1189687776522,1290.5401810823148,1931.361312226519,411.29356545019397,950.8278860664009,3265.115060095651,3370.7633377549696,675.4280772714055,2340.892326449357,1298.7250360103715
2019-01-01 03:00:00,973.5582864980156,908.9225278027423,840.6142141072179,1259.8101533336596,1885.3722081386281,401.499943473598,928.1870045569921,3187.3669373559596,3290.499544018234,659.3449487791457,2285.151569824426,1267.8001124942346
2019-01-01 04:00:00,976.1761326539693,911.3665718609845,842.8745807638012,1263.1977154476847,1890.441873156191,402.57955534503384,930.6828497627537,3195.9375965556105,3299.3475212805515,661.1178920775051,2291.296220161033,1271.2091591810529
2019-01-01 05:00:00,997.5863744294466,931.3553607658946,861.3611509194291,1290.9031341659606,1931.9044906212582,411.409238150705,951.0952980527327,3266.0333450099,3371.7113353187897,675.6180354819442,2341.550681842565,1299.0902910125308
2019-01-01 06:00:00,1018.9966162049235,951.3441496708043,879.8477210750566,1318.6085528842361,1973.3671080863248,420.23892095637603,971.5077463427112,3336.129093464188,3444.075149357027,690.118178886383,2391.8051435240964,1326.9714228440082
2019-01-01 07:00:00,1043.4921766642037,974.2134190729288,900.9982947902295,1350.3064555226135,2020.8046878935206,430.3410034676681,994.8617264823383,3416.3259759752104,3526.8669365972833,706.707862606746,2449.3015145309155,1358.8703596992368
2019-01-01 08:00:00,1071.727517346274,1000.5741799868273,925.3779637290921,1386.8437326095973,2075.484646297233,441.98538865243955,1021.7811997730527,3508.766657342875,3622.298691355134,725.8303224676218,2515.5759574471713,1395.6393632499191
2019-01-01 09:00:00,1106.6944624293683,1033.2196256219208,955.5700040705981,1432.0918837040747,2143.20088617468,456.4059186494747,1055.118560735726,3623.246176652501,3740.4823876446594,749.511779381422,2597.650929800416,1441.1744868524204
2019-01-01 10:00:00,1146.0556492742414,1069.967573783349,989.5562312999401,1483.026299775665,2219.426920903035,472.63865428784834,1092.6453761509274,3752.1121596186836,3873.518045767359,776.1692482603254,2690.04013664725,1492.4319388220806
2019-01-01 11:00:00,1168.026858083137,1090.4800864150252,1008.5271657391214,1511.4576246612316,2261.9758951575795,481.6996824945414,1113.5926484135693,3824.044477901469,3947.777854933236,791.0493080858413,2741.6113091151974,1521.0435806578764
2019-01-01 12:00:00,1178.9657152348004,1100.6926990869663,1017.9722692684161,1525.6127949234078,2283.159852552396,486.2109178144695,1124.0217158805021,3859.8575895571544,3984.7497599222056,798.457678296843,2767.2871694503037,1535.2885257420817
2019-01-01 13:00:00,1176.8153416066957,1098.6850914676959,1016.1155395147941,1522.8301546154587,2278.995484859398,485.3240937772187,1121.9715573186265,3852.8174052145837,3977.481778599588,797.0013320160479,2762.239778102377,1532.4882373921953
2019-01-01 14:00:00,1188.2216712862078,1109.3341405786086,1025.96427994705,1537.5902466837106,2301.0847395787787,490.02811693133174,1132.846311429445,3890.1609917273495,4016.0336795282565,804.7262992446138,2789.012897426163,1547.341940813332
2019-01-01 15:00:00,1222.6276493358828,1141.4558624869353,1055.671956005002,1582.112491610896,2367.7146226667464,504.21730152734466,1165.6488484194547,4002.803941208477,4132.32138069014,828.0278397373366,2869.771158992991,1592.1465544115144
2019-01-01 16:00:00,1316.3091439167924,1228.917724856891,1136.5607913584481,1703.3388215485058,2549.1362065095304,542.8519834980108,1254.96445185421,4309.5111025674205,4448.9525670059265,891.4738820571969,3089.6618603244115,1714.1417251326538
2019-01-01 17:00:00,1304.2483526982926,1217.657664731418,1126.1469592620465,1687.7318389517482,2525.77953553576,537.8780573760389,1243.4657364419513,4270.024851254743,4408.18867176168,883.3056790040415,3061.352578416475,1698.435760039813
2019-01-01 18:00:00,1278.8178471833148,1193.9155224513502,1104.1891117409514,1654.8240927012191,2476.5313610794346,527.390399196377,1219.2203830145527,4186.76701902956,4322.236892642025,866.0828012485503,3001.6616894322965,1665.3193065107212
2019-01-01 19:00:00,1244.5053636392092,1161.8810878308175,1074.5621630635912,1610.4228321352484,2410.082537456379,513.239772167201,1186.5069833533198,4074.4301645198475,4206.265190668079,842.84458015934,2921.1228796632035,1620.6364445799245
2019-01-01 20:00:00,1193.1768800814054,1113.9603668317102,1030.2428311184399,1544.002417828115,2310.6808912191655,492.07166797369234,1137.5705898546366,3906.3840252124032,4032.7816364890714,808.0822276307939,2800.643842706168,1553.7947791848094
2019-01-01 21:00:00,1142.6898470737294,1066.8252314227518,986.6500455986186,1478.6708627719183,2212.908780166168,471.2505818817165,1089.4364323149482,3741.092740647703,3862.1420750015222,773.8897497338631,2682.139871928756,1488.0488787961713
2019-01-01 22:00:00,1077.2436931748905,1005.7241299666949,930.1408791840356,1393.9818099212928,2086.1671547270976,444.2602850958221,1027.0403021709076,3526.8262606564253,3640.942643443588,729.566167274879,2528.523613513592,1402.8227116257146
2019-01-01 23:00:00,1033.675253579378,965.0482538545203,892.5219198280421,1337.6030975950198,2001.79344407766,426.29245894978396,985.5023069607323,3384.186003976519,3493.6870218635936,700.0593252378984,2426.259075768641,1346.0864346236683
2019-01-02 00:00:00,1002.9155612469234,936.3307361701735,865.962611613188,1297.7992427552258,1942.2248801212968,413.60701946041354,956.1761257930331,3283.480758380618,3389.723289031364,679.2272414821757,2354.059434313514,1306.0301360535536
2019-01-02 01:00:00,988.5174073891787,922.8884938498409,853.5305950019796,1279.167651128088,1914.341722524701,407.6691541675167,942.448977161344,3236.3421327825367,3341.0594140886183,669.4760533411991,2320.263857462178,1287.280379276053
2019-01-02 02:00:00,982.8142425494229,917.5639692943846,848.6062247858519,1271.7876050939624,1903.297095165011,405.31714259046026,937.0116001059349,3217.6703395261543,3321.7834636242846,665.6135697269164,2306.8772978002853,1279.853527565485
2019-01-02 03:00:00,991.6962205785508,925.8562616348493,856.2753259421164,1283.281119409404,1920.4977443317414,408.9801114399744,945.4796463397688,3246.749361810684,3351.803386478575,671.6289130606355,2327.7252185852,1291.4199359671893
2019-01-02 04:00:00,1038.6304623745757,969.6744801076218,896.8004709994319,1344.0152687394243,2011.3895957180468,428.33600999214457,990.226585385924,3400.409037461573,3510.4349788244085,703.4152536240787,2437.8900210486468,1352.539272995146
2019-01-02 05:00:00,1149.9824185081716,1073.6336398707124,992.9467812848151,1488.1076429467023,2227.031418429379,474.2580720950019,1096.3891439595698,3764.9681484181597,3886.790011660835,778.8286632078643,2699.25711215216,1497.5455088523079
2019-01-02 06:00:00,1285.8299351010473,1200.4620690359272,1110.2436652853705,1663.8979197923572,2490.1108209479057,530.2822167091513,1225.9056826728424,4209.7241418857675,4345.9368317375165,870.8317565120127,3018.1205742624916,1674.4506815646982
2019-01-02 07:00:00,1405.2224187136437,1311.927935549334,1213.3325303016886,1818.394949064141,2721.323757641753,579.5202295599902,1339.734051521328,4600.607420384142,4749.467794736776,951.6906347979025,3298.360519971298,1829.9275608170883
2019-01-02 08:00:00,1469.0791660177968,1371.5451531128865,1268.4693312462032,1901.0272677741084,2844.9873721773033,605.8550477096558,1400.6148470761561,4809.670285861344,4965.295240099731,994.9377873971684,3448.24609782495,1913.0839496419767
2019-01-02 09:00:00,1476.0912539355295,1378.091699697464,1274.5238847906228,1910.1010948652468,2858.5668320457753,608.7468652224302,1407.3001467344463,4832.627408717553,4988.995179195224,999.6867426606311,3464.7049826551465,1922.2153246959545
2019-01-02 10:00:00,1489.2739792208672,1390.39920727647,1285.9064454541317,1927.1598897965873,2884.0962165985025,614.1834821464461,1419.8685100920318,4875.7867996872255,5033.551064694751,1008.6147785559408,3495.6476861359156,1939.3823097974323
2019-01-02 11:00:00,1482.5423748198436,1384.1145225552755,1280.0940740514889,1918.4490157890941,2871.0599351247693,611.4073373341826,1413.4506224200732,4853.7479617452655,5010.799123163078,1004.0557815030166,3479.847156698927,1930.6161897456136
2019-01-02 12:00:00,1482.2618913031345,1383.8526606918924,1279.851891909712,1918.0860627054487,2870.5167567300305,611.2916646336716,1413.1832104337416,4852.8296768310165,5009.851125599258,1003.8658232924781,3479.188801305719,1930.2509347434545
2019-01-02 13:00:00,1478.2416275636342,1380.0993073167347,1276.3806145442447,1912.8837351731959,2862.7311997387733,609.633689259681,1409.350305296322,4839.667593060124,4996.263160517842,1001.1430889414263,3469.7523740030733,1925.0156130458408
2019-01-02 14:00:00,1485.160220975797,1386.5585666135175,1282.354440708072,1921.836577903119,2876.1296001423316,612.4869492056183,1415.9464676258344,4862.318620944916,5019.6471004253945,1005.8287248013759,3485.991807035533,1934.0252364324317
